id;name;price;seller #1;price #1;bonus #1;bonus, % #1;seller #2;price #2;bonus #2;bonus, % #2;seller #3;price #3;bonus #3;bonus, % #3;seller #4;price #4;bonus #4;bonus, % #4;seller #5;price #5;bonus #5;bonus, % #5;seller #6;price #6;bonus #6;bonus, % #6;seller #7;price #7;bonus #7;bonus, % #7;seller #8;price #8;bonus #8;bonus, % #8;seller #9;price #9;bonus #9;bonus, % #9;seller #10;price #10;bonus #10;bonus, % #10
100022838330;Набор столовой посуды Walther-Glas W1201122;678;Bezant;678;169;25%;Bezant;678;169;25%;MrDom;986;246;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022841737;Набор столовых приборов FRAU ERSEL TCS420 20 предметов;928;Bezant;928;232;25%;Bezant;928;232;25%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022842198;Контейнер для хранения пищи Curver XL 33 л,;728;Bezant;728;109;15%;Bezant;728;109;15%;MrDom;875;131;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024028759;Сковорода MONETA Greystone M3060124 24x5 см;1100;Юлмарт;1100;165;15%;Юлмарт;1100;165;15%;ItalPosuda;1590;238;0,15;MrDom;1870;280;0,15;;;;;;;;;;;;;;;;;;;;;;;;
100022840201;Сковорода Moneta M8710124 Черный;1499;Bezant;1499;224;15%;Bezant;1499;224;15%;Юлмарт;1730;259;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022840176;Сковорода Moneta M8710120 Черный;1358;Bezant;1358;203;15%;Bezant;1358;203;15%;vinand;2270;340;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024574471;Форма Pyrex 283PG00R;1799;Bezant;1799;269;15%;Bezant;1799;269;15%;AUTSTOK;2030;304;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100023002063;Корзина KIS 67160000844;1358;Bezant;1358;203;15%;Bezant;1358;203;15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022836908;Термос Attribute Baltic 0.8л;728;Bezant;728;109;15%;Bezant;728;109;15%;Юлмарт;889;133;0,15;productorg;883;132;0,15;MrDom;1080;162;0,15;;;;;;;;;;;;;;;;;;;;
100023002293;Корзина KIS 67160000842;1399;Bezant;1399;209;15%;Bezant;1399;209;15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022836955;Термос Attribute Baltic 1.5л;908;Bezant;908;136;15%;Bezant;908;136;15%;Юлмарт;1049;157;0,15;productorg;1127;169;0,15;MrDom;1302;195;0,15;;;;;;;;;;;;;;;;;;;;
100023002308;Корзина KIS 67160000843;1399;Bezant;1399;209;15%;Bezant;1399;209;15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022836623;Набор кастрюль Attribute lIME 3шт;2644;Bezant;2644;396;15%;Bezant;3499;396;15%;MrDom;4179;626;0,15;AUTSTOK;3900;585;0,15;;;;;;;;;;;;;;;;;;;;;;;;
100024491395;Сковорода Moneta Riviera 20см;970;Юлмарт;970;145;15%;Юлмарт;970;145;15%;Bezant;968;145;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100023038625;Мусорное ведро Curver Flip Bin 50 л оранжевый;1448;Bezant;1448;289;20%;Bezant;1448;289;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022838781;Блюдо Pyrex О cuisine 247BC00/1047 Прозрачный;395;unipod;395;98;25%;unipod;395;98;25%;Bezant;899;224;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022838764;Форма для запекания Pyrex Assimetria 35 х 27 см;658;Bezant;658;98;15%;Bezant;658;98;15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
